CAS-4 g,English name,smiles1,CAS-8 g,English name,smiles2,CAS-25 g,English name,smiles3,CAS-40 g,English name,smiles4,CAS-DCM/MeOH,English name,smiles5,CAS-NH2,English name,smiles6,CAS-CN,English name,smiles7,CAS-C18,English name,smiles8
94-46-2,Isopentyl benzoate,CC(C)CCOC(=O)C1=CC=CC=C1,515-40-2,Neophyl chloride,CC(C)(CCl)C1=CC=CC=C1,93-89-0,Ethyl benzoate,CCOC(=O)C1=CC=CC=C1,103-36-6,Ethyl cinnamate,CCOC(=O)/C=C/C1=CC=CC=C1,577-16-2,2'-Methylacetophenone,CC1=CC=CC=C1C(=O)C,62-53-3,Aniline,C1=CC=C(C=C1)N,626-34-6,ETHYL 3-AMINOCROTONATE,CCOC(=O)/C=C(/C)\N,941-98-0,1'-Acetonaphthone,CC(=O)C1=CC=CC2=CC=CC=C21
7335-27-5,ETHYL 4-CHLOROBENZOATE,CCOC(=O)C1=CC=C(C=C1)Cl,122-97-4,3-Phenyl-1-propanol,C1=CC=C(C=C1)CCCO,101-97-3,Ethyl phenylacetate,CCOC(=O)CC1=CC=CC=C1,26537-19-9,Methyl 4-tert-butylbenzoate,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,103-36-6,Ethyl cinnamate,CCOC(=O)/C=C/C1=CC=CC=C1,93-98-1,BENZANILIDE,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,459-57-4,4-Fluorobenzaldehyde,C1=CC(=CC=C1C=O)F,92-52-4,Biphenyl,C1=CC=C(C=C1)C2=CC=CC=C2
120-50-3,Isobutyl benzoate,CC(C)COC(=O)C1=CC=CC=C1,637-59-2,1-Bromo-3-phenylpropane,C1=CC=C(C=C1)CCCBr,119-36-8,Methyl salicylate,COC(=O)C1=CC=CC=C1O,515-40-2,Neophyl chloride,CC(C)(CCl)C1=CC=CC=C1,122-00-9,4'-Methylacetophenone,CC1=CC=C(C=C1)C(=O)C,89-86-1,"2,4-Dihydroxybenzoic acid",C1=CC(=C(C=C1O)O)C(=O)O?,108-59-8,Dimethyl malonate,COC(=O)CC(=O)OC,100-52-7,Benzaldehyde,C1=CC=C(C=C1)C=O
120-51-4,Benzyl benzoate,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,104-52-9,1-Chloro-3-phenylpropane,C1=CC=C(C=C1)CCCCl,26537-19-9,Methyl 4-tert-butylbenzoate,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,122-00-9,4'-Methylacetophenone,CC1=CC=C(C=C1)C(=O)C,1745-81-9,2-Allylphenol,C=CCC1=CC=CC=C1O,123-31-9,Hydroquinone,C1=CC(=CC=C1O)O,535-11-5,Ethyl 2-bromopropionate,CCOC(=O)C(C)Br,591-50-4,Iodobenzene,C1=CC=C(C=C1)I
83-13-6,Diethyl phenylmalonate,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,105-13-5,(4-Methoxybenzyl)methanol,COC1=CC=C(C=C1)CO,535-11-5,Ethyl 2-bromopropionate,CCOC(=O)C(C)Br,1694-31-1,tert-Butyl acetoacetate,CC(=O)CC(=O)OC(C)(C)C,123-11-5,p-Anisaldehyde,COC1=CC=C(C=C1)C=O,92-52-4,Biphenyl,C1=CC=C(C=C1)C2=CC=CC=C2,134-20-3,Methyl anthranilate,COC(=O)C1=CC=CC=C1N,100-41-4,Ethylbenzene,CCC1=CC=CC=C1
15206-55-0,Methyl Benzoylformate,COC(=O)C(=O)C1=CC=CC=C1,600-00-0,Ethyl 2-bromoisobutyrate,CCOC(=O)C(C)(C)Br,94-02-0,Ethyl benzoylacetate,CCOC(=O)CC(=O)C1=CC=CC=C1,94-02-0,Ethyl benzoylacetate,CCOC(=O)CC(=O)C1=CC=CC=C1,51934-41-9,Ethyl 4-iodobenzoate,CCOC(=O)C1=CC=C(C=C1)I,941-98-0,1'-Acetonaphthone,CC(=O)C1=CC=CC2=CC=CC=C21,94-02-0,Ethyl benzoylacetate,CCOC(=O)CC(=O)C1=CC=CC=C1,98-86-2,Acetophenone,CC(=O)C1=CC=CC=C1
451-46-7,Ethyl 4-Fluorobenzoate,CCOC(=O)C1=CC=C(C=C1)F,123-11-5,Anisic aldehyde,COC1=CC=C(C=C1)C=O,600-00-0,Ethyl 2-bromoisobutyrate,CCOC(=O)C(C)(C)Br,119-36-8,Methyl salicylate,COC(=O)C1=CC=CC=C1O,105-13-5,4-Methoxybenzyl alcohol,COC1=CC=C(C=C1)CO,103-36-6,Ethyl cinnamate,CCOC(=O)/C=C/C1=CC=CC=C1,515-40-2,Neophyl chloride,CC(C)(CCl)C1=CC=CC=C1,103-36-6,Ethyl cinnamate,CCOC(=O)/C=C/C1=CC=CC=C1
87-25-2,Ethyl 2-Aminobenzoate,CCOC(=O)C1=CC=CC=C1N,762-42-5,Dimethyl But-2-ynedioate,COC(=O)C#CC(=O)OC,103-36-6,Ethyl cinnamate,CCOC(=O)/C=C/C1=CC=CC=C1,123-11-5,Anisic aldehyde,COC1=CC=C(C=C1)C=O,1746-13-0,Allyl phenyl ether,C=CCOC1=CC=CC=C1,98-80-6,Phenylboronic acid,B(C1=CC=CC=C1)(O)O,1745-81-9,2-Allylphenol,C=CCC1=CC=CC=C1O,65-85-0,Benzoic acid,C1=CC=C(C=C1)C(=O)O
2417-72-3,Methyl 4-(bromomethyl)benzoate,COC(=O)C1=CC=C(C=C1)CBr,98-86-2,Acetophenone,CC(=O)C1=CC=CC=C1,626-34-6,ETHYL 3-AMINOCROTONATE,CCOC(=O)/C=C(/C)\N,122-97-4,3-Phenyl-1-propanol,C1=CC=C(C=C1)CCCO,122-97-4,3-Phenyl-1-propanol,C1=CC=C(C=C1)CCCO,609-06-3,L-xylose,C([C@@H]([C@H]([C@@H](C=O)O)O)O)O,51934-41-9,Ethyl 4-iodobenzoate,CCOC(=O)C1=CC=C(C=C1)I,123-31-9,Hydroquinone,C1=CC(=CC=C1O)O
582-33-2,Ethyl 3-aminobenzoate,CCOC(=O)C1=CC(=CC=C1)N,535-11-5,Ethyl 2-bromopropionate,CCOC(=O)C(C)Br,1694-31-1,tert-Butyl acetoacetate,CC(=O)CC(=O)OC(C)(C)C,600-00-0,Ethyl 2-bromoisobutyrate,CCOC(=O)C(C)(C)Br,134-20-3,Methyl anthranilate,COC(=O)C1=CC=CC=C1N,637-59-2,1-Bromo-3-phenylpropane,C1=CC=C(C=C1)CCCBr,105-13-5,4-Methoxybenzyl alcohol,COC1=CC=C(C=C1)CO,98-80-6,Phenylboronic acid,B(C1=CC=CC=C1)(O)O
141-97-9,Ethyl acetoacetate,CCOC(=O)CC(=O)C,94-02-0,Ethyl benzoylacetate,CCOC(=O)CC(=O)C1=CC=CC=C1,7318-00-5,ETHYL 3-AMINOBUT-2-ENOATE,CCOC(=O)/C=C(/C)\N,637-59-2,1-Bromo-3-phenylpropane,C1=CC=C(C=C1)CCCBr,455-67-4,3-Fluoropropiophenone,CCC(=O)C1=CC(=CC=C1)F,122-97-4,3-Phenyl-1-propanol,C1=CC=C(C=C1)CCCO,577-16-2,2'-Methylacetophenone,CC1=CC=CC=C1C(=O)C,123-08-0,4-Hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O
95-13-6,Indene,C1C=CC2=CC=CC=C21,577-16-2,2'-Methylacetophenone,CC1=CC=CC=C1C(=O)C,105-45-3,Methyl 3-oxobutanoate,CC(=O)CC(=O)OC,577-16-2,2'-Methylacetophenone,CC1=CC=CC=C1C(=O)C,826-73-3,1-Benzosuberone,C1CCC(=O)C2=CC=CC=C2C1,26537-19-9,Methyl 4-tert-butylbenzoate,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,123-11-5,p-Anisaldehyde,COC1=CC=C(C=C1)C=O,99-96-7,4-Hydroxybenzoic acid,C1=CC(=CC=C1C(=O)O)O
105-53-3,Diethyl malonate,CCOC(=O)CC(=O)OCC,122-00-9,4'-Methylacetophenone,CC1=CC=C(C=C1)C(=O)C,762-42-5,Dimethyl But-2-ynedioate,COC(=O)C#CC(=O)OC,762-42-5,Dimethyl But-2-ynedioate,COC(=O)C#CC(=O)OC,3874-54-2,4-Chloro-4'-fluorobutyrophenone,C1=CC(=CC=C1C(=O)CCCCl)F,624-48-6,Dimethyl maleate,COC(=O)/C=C\C(=O)OC?,1746-13-0,Allyl phenyl ether,C=CCOC1=CC=CC=C1,937-14-4,3-Chloroperoxybenzoic acid,C1=CC(=CC(=C1)Cl)C(=O)OO
