CAS,name,Purity,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
93-89-0,Ethyl benzoate,0.99,1.045,100,PE,300,0/1,15,2023-07-20_10-34-21.xlsx,Silica-CS 25g,1285,1912,CCOC(=O)C1=CC=CC=C1,1285,1912
93-89-0,Ethyl benzoate,0.99,1.045,200,PE,300,0/1,15,2023-07-20_10-39-27.xlsx,Silica-CS 25g,1348,2021,CCOC(=O)C1=CC=CC=C1,1348,2021
93-89-0,Ethyl benzoate,0.99,1.045,300,PE,300,0/1,15,2023-07-20_10-44-43.xlsx,Silica-CS 25g,-1,-1,CCOC(=O)C1=CC=CC=C1,-1,-1
93-89-0,Ethyl benzoate,0.99,1.045,100,PE,300,1/1,15,2023-07-20_10-50-34.xlsx,Silica-CS 25g,-1,-1,CCOC(=O)C1=CC=CC=C1,-1,-1
93-89-0,Ethyl benzoate,0.99,1.045,200,PE,300,1/1,15,2023-07-20_11-04-50.xlsx,Silica-CS 25g,1466,2222,CCOC(=O)C1=CC=CC=C1,1466,2222
93-89-0,Ethyl benzoate,0.99,1.045,300,PE,300,1/1,15,2023-07-20_11-16-49.xlsx,Silica-CS 25g,1506,2297,CCOC(=O)C1=CC=CC=C1,1506,2297
93-89-0,Ethyl benzoate,0.99,1.045,100,PE,300,2/1,15,2023-07-20_11-22-56.xlsx,Silica-CS 25g,1566,2302,CCOC(=O)C1=CC=CC=C1,1566,2302
93-89-0,Ethyl benzoate,0.99,1.045,200,PE,300,2/1,15,2023-07-20_11-28-53.xlsx,Silica-CS 25g,1605,2536,CCOC(=O)C1=CC=CC=C1,1605,2536
93-89-0,Ethyl benzoate,0.99,1.045,300,PE,300,2/1,15,2023-07-20_11-34-59.xlsx,Silica-CS 25g,1597,2604,CCOC(=O)C1=CC=CC=C1,1597,2604
93-89-0,Ethyl benzoate,0.99,1.045,100,PE,300,5/1,15,2023-07-20_11-41-45.xlsx,Silica-CS 25g,-1,-1,CCOC(=O)C1=CC=CC=C1,-1,-1
93-89-0,Ethyl benzoate,0.99,1.045,200,PE,300,5/1,15,2023-07-20_11-48-52.xlsx,Silica-CS 25g,-1,-1,CCOC(=O)C1=CC=CC=C1,-1,-1
93-89-0,Ethyl benzoate,0.99,1.045,300,PE,300,5/1,15,2023-07-20_11-56-14.xlsx,Silica-CS 25g,4603,4613,CCOC(=O)C1=CC=CC=C1,4603,4613
93-89-0,Ethyl benzoate,0.99,1.045,100,PE,300,10/1,15,2023-07-20_12-03-50.xlsx,Silica-CS 25g,2362,3336,CCOC(=O)C1=CC=CC=C1,2362,3336
93-89-0,Ethyl benzoate,0.99,1.045,200,PE,300,10/1,15,2023-07-20_12-11-02.xlsx,Silica-CS 25g,2214,3287,CCOC(=O)C1=CC=CC=C1,2214,3287
93-89-0,Ethyl benzoate,0.99,1.045,300,PE,300,10/1,15,2023-07-20_12-18-18.xlsx,Silica-CS 25g,2186,3343,CCOC(=O)C1=CC=CC=C1,2186,3343
93-89-0,Ethyl benzoate,0.99,1.045,100,PE,300,20/1,15,2023-07-20_12-27-20.xlsx,Silica-CS 25g,2940,4158,CCOC(=O)C1=CC=CC=C1,2940,4158
93-89-0,Ethyl benzoate,0.99,1.045,200,PE,300,20/1,15,2023-07-20_12-36-07.xlsx,Silica-CS 25g,2968,4041,CCOC(=O)C1=CC=CC=C1,2968,4041
93-89-0,Ethyl benzoate,0.99,1.045,300,PE,300,20/1,15,2023-07-20_12-45-05.xlsx,Silica-CS 25g,-1,-1,CCOC(=O)C1=CC=CC=C1,-1,-1
93-89-0,Ethyl benzoate,0.99,1.045,100,PE,300,50/1,15,2023-07-20_12-57-58.xlsx,Silica-CS 25g,-1,-1,CCOC(=O)C1=CC=CC=C1,-1,-1
93-89-0,Ethyl benzoate,0.99,1.045,200,PE,300,50/1,15,2023-07-20_13-10-56.xlsx,Silica-CS 25g,-1,-1,CCOC(=O)C1=CC=CC=C1,-1,-1
93-89-0,Ethyl benzoate,0.99,1.045,300,PE,300,50/1,15,2023-07-20_13-24-15.xlsx,Silica-CS 25g,3709,6810,CCOC(=O)C1=CC=CC=C1,3709,6810
