CAS,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
941-98-0,1.12,100,DCM,400,90/10,10,2024-11-13_19-00-33.xlsx,C18,397,1065,CC(=O)C1=CC=CC2=CC=CC=C21,397,1065
941-98-0,1.12,100,DCM,400,75/25,10,2024-11-13_19-04-45.xlsx,C18,553,1487,CC(=O)C1=CC=CC2=CC=CC=C21,553,1487
941-98-0,1.12,100,DCM,400,50/50,10,2024-11-13_19-20-00.xlsx,C18,2502,8066,CC(=O)C1=CC=CC2=CC=CC=C21,2502,8066
941-98-0,1.12,100,DCM,400,25/75,10,2024-11-13_19-33-53.xlsx,C18,1178,2775,CC(=O)C1=CC=CC2=CC=CC=C21,1178,2775
941-98-0,1.12,100,DCM,400,10/90,10,2024-11-13_19-44-02.xlsx,C18,3095,5003,CC(=O)C1=CC=CC2=CC=CC=C21,3095,5003
941-98-0,1.12,100,DCM,400,40/60,10,2024-11-13_20-24-28.xlsx,C18,3866,16109,CC(=O)C1=CC=CC2=CC=CC=C21,3866,16109
941-98-0,1.12,100,DCM,400,80/20,10,2024-11-13_20-48-08.xlsx,C18,352,1187,CC(=O)C1=CC=CC2=CC=CC=C21,352,1187
941-98-0,1.12,100,DCM,400,70/30,10,2024-11-13_20-52-55.xlsx,C18,628,1806,CC(=O)C1=CC=CC2=CC=CC=C21,628,1806
941-98-0,1.12,100,DCM,400,60/40,10,2024-11-13_20-59-57.xlsx,C18,993,3196,CC(=O)C1=CC=CC2=CC=CC=C21,993,3196
941-98-0,1.12,100,DCM,400,50/50,10,2024-11-13_21-14-12.xlsx,C18,2432,7470,CC(=O)C1=CC=CC2=CC=CC=C21,2432,7470
92-52-4,0.992,100,MeOH,400,90/10,10,2024-11-14_10-54-30.xlsx,C18,386,2193,C1=CC=C(C=C1)C2=CC=CC=C2,386,2193
92-52-4,0.992,100,MeOH,400,80/20,10,2024-11-14_11-29-01.xlsx,C18,785,2968,C1=CC=C(C=C1)C2=CC=CC=C2,785,2968
92-52-4,0.992,100,MeOH,400,70/30,10,2024-11-14_11-40-40.xlsx,C18,1749,5900,C1=CC=C(C=C1)C2=CC=CC=C2,1749,5900
92-52-4,0.992,100,MeOH,400,60/40,10,2024-11-14_12-08-13.xlsx,C18,5893,15365,C1=CC=C(C=C1)C2=CC=CC=C2,5893,15365
92-52-4,0.992,100,MeOH,400,50/50,10,2024-11-14_19-21-04.xlsx,C18,-1,-1,C1=CC=C(C=C1)C2=CC=CC=C2,-1,-1
100-52-7,1.044,100,DCM,400,90/10,10,2024-11-14_19-36-35.xlsx,C18,309,1362,C1=CC=C(C=C1)C=O,309,1362
100-52-7,1.044,100,DCM,400,80/20,10,2024-11-14_19-41-27.xlsx,C18,500,1892,C1=CC=C(C=C1)C=O,500,1892
100-52-7,1.044,100,DCM,400,70/30,10,2024-11-14_19-47-24.xlsx,C18,523,2525,C1=CC=C(C=C1)C=O,523,2525
100-52-7,1.044,100,DCM,400,60/40,10,2024-11-14_19-52-56.xlsx,C18,555,2266,C1=CC=C(C=C1)C=O,555,2266
100-52-7,1.044,100,DCM,400,50/50,10,2024-11-14_20-00-34.xlsx,C18,708,3543,C1=CC=C(C=C1)C=O,708,3543
591-50-4,1.823,100,DCM,400,90/10,10,2024-11-14_20-09-09.xlsx,C18,472,1425,C1=CC=C(C=C1)I,472,1425
591-50-4,1.823,100,DCM,400,80/20,10,2024-11-14_20-14-11.xlsx,C18,560,1996,C1=CC=C(C=C1)I,560,1996
591-50-4,1.823,100,DCM,400,70/30,10,2024-11-14_20-20-54.xlsx,C18,1547,2954,C1=CC=C(C=C1)I,1547,2954
591-50-4,1.823,100,DCM,400,60/40,10,2024-11-14_20-33-28.xlsx,C18,2827,6487,C1=CC=C(C=C1)I,2827,6487
591-50-4,1.823,100,DCM,400,50/50,10,2024-11-14_20-59-51.xlsx,C18,-1,-1,C1=CC=C(C=C1)I,-1,-1
100-41-4,0.867,100,DCM,400,90/10,10,2024-11-15_09-26-41.xlsx,C18,485,1213,CCC1=CC=CC=C1,485,1213
100-41-4,0.867,100,DCM,400,80/20,10,2024-11-15_09-31-25.xlsx,C18,720,1759,CCC1=CC=CC=C1,720,1759
100-41-4,0.867,100,DCM,400,70/30,10,2024-11-15_09-38-14.xlsx,C18,1382,3001,CCC1=CC=CC=C1,1382,3001
100-41-4,0.867,100,DCM,400,60/40,10,2024-11-15_09-45-59.xlsx,C18,-1,-1,CCC1=CC=CC=C1,-1,-1
100-41-4,0.867,100,DCM,400,50/50,10,2024-11-15_10-26-33.xlsx,C18,-1,-1,CCC1=CC=CC=C1,-1,-1
98-86-2,1.03,100,DCM,400,90/10,10,2024-11-15_10-34-59.xlsx,C18,310,1760,CC(=O)C1=CC=CC=C1,310,1760
98-86-2,1.03,100,DCM,400,80/20,10,2024-11-15_10-39-21.xlsx,C18,496,1576,CC(=O)C1=CC=CC=C1,496,1576
98-86-2,1.03,100,DCM,400,70/30,10,2024-11-15_10-44-28.xlsx,C18,538,2035,CC(=O)C1=CC=CC=C1,538,2035
98-86-2,1.03,100,DCM,400,60/40,10,2024-11-15_10-50-06.xlsx,C18,567,2324,CC(=O)C1=CC=CC=C1,567,2324
