CAS,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
626-34-6,1.17,100,DCM,400,90/10,10,2024-12-01_13-35-24.xlsx,CN,308,1367,CCOC(=O)/C=C(/C)\N,308,1367
626-34-6,1.17,100,DCM,400,80/20,10,2024-12-01_13-40-26.xlsx,CN,505,1992,CCOC(=O)/C=C(/C)\N,505,1992
626-34-6,1.17,100,DCM,400,70/30,10,2024-12-01_13-45-03.xlsx,CN,506,1737,CCOC(=O)/C=C(/C)\N,506,1737
626-34-6,1.17,100,DCM,400,60/40,10,2024-12-01_13-48-50.xlsx,CN,539,1200,CCOC(=O)/C=C(/C)\N,539,1200
626-34-6,1.17,100,DCM,400,50/50,10,2024-12-01_13-53-42.xlsx,CN,510,1882,CCOC(=O)/C=C(/C)\N,510,1882
459-57-4,1.157,100,DCM,400,90/10,10,2024-12-01_14-14-32.xlsx,CN,217,2014,C1=CC(=CC=C1C=O)F,217,2014
459-57-4,1.157,100,DCM,400,80/20,10,2024-12-01_14-18-29.xlsx,CN,524,1318,C1=CC(=CC=C1C=O)F,524,1318
459-57-4,1.157,100,DCM,400,70/30,10,2024-12-01_14-22-51.xlsx,CN,530,1576,C1=CC(=CC=C1C=O)F,530,1576
459-57-4,1.157,100,DCM,400,60/40,10,2024-12-01_14-28-08.xlsx,CN,490,2141,C1=CC(=CC=C1C=O)F,490,2141
459-57-4,1.157,100,DCM,400,50/50,10,2024-12-01_14-36-22.xlsx,CN,545,3897,C1=CC(=CC=C1C=O)F,545,3897
108-59-8,1.156,100,DCM,400,90/10,10,2024-12-01_14-49-27.xlsx,CN,255,1446,COC(=O)CC(=O)OC,255,1446
108-59-8,1.156,100,DCM,400,80/20,10,2024-12-01_14-54-39.xlsx,CN,514,2086,COC(=O)CC(=O)OC,514,2086
108-59-8,1.156,100,DCM,400,70/30,10,2024-12-01_15-14-45.xlsx,CN,324,1693,COC(=O)CC(=O)OC,324,1693
108-59-8,1.156,100,DCM,400,60/40,10,2024-12-01_15-18-57.xlsx,CN,551,1457,COC(=O)CC(=O)OC,551,1457
108-59-8,1.156,100,DCM,400,50/50,10,2024-12-01_15-25-50.xlsx,CN,525,3075,COC(=O)CC(=O)OC,525,3075
535-11-5,1.394,100,DCM,400,90/10,10,2024-12-01_15-33-28.xlsx,CN,276,1085,CCOC(=O)C(C)Br,276,1085
