CAS,name,Purity,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
577-16-2,2'-Methylacetophenone,0.98,1.026,100,DCM,300,15/1,10,2024-05-06_20-37-16.xlsx,Silica-CS 4g,467,1105,CC1=CC=CC=C1C(=O)C,467,1105
577-16-2,2'-Methylacetophenone,0.98,1.026,100,DCM,300,30/1,10,2024-05-06_20-42-13.xlsx,Silica-CS 4g,656,1816,CC1=CC=CC=C1C(=O)C,656,1816
577-16-2,2'-Methylacetophenone,0.98,1.026,100,DCM,300,50/1,10,2024-05-06_20-47-10.xlsx,Silica-CS 4g,655,1925,CC1=CC=CC=C1C(=O)C,655,1925
577-16-2,2'-Methylacetophenone,0.98,1.026,100,DCM,300,100/1,10,2024-05-06_20-52-18.xlsx,Silica-CS 4g,644,2189,CC1=CC=CC=C1C(=O)C,644,2189
577-16-2,2'-Methylacetophenone,0.98,1.026,100,DCM,300,1/0,10,2024-05-06_20-57-50.xlsx,Silica-CS 4g,680,2385,CC1=CC=CC=C1C(=O)C,680,2385
103-36-6,Ethyl cinnamate,0.99,1.049,100,DCM,300,1/0,10,2024-05-07_10-23-58.xlsx,Silica-CS 4g,974,1882,CCOC(=O)/C=C/C1=CC=CC=C1,974,1882
103-36-6,Ethyl cinnamate,0.99,1.049,100,DCM,300,100/1,10,2024-05-07_10-29-00.xlsx,Silica-CS 4g,1039,1989,CCOC(=O)/C=C/C1=CC=CC=C1,1039,1989
103-36-6,Ethyl cinnamate,0.99,1.049,100,DCM,300,50/1,10,2024-05-07_10-33-57.xlsx,Silica-CS 4g,626,1855,CCOC(=O)/C=C/C1=CC=CC=C1,626,1855
103-36-6,Ethyl cinnamate,0.99,1.049,100,DCM,300,30/1,10,2024-05-07_10-38-59.xlsx,Silica-CS 4g,612,1628,CCOC(=O)/C=C/C1=CC=CC=C1,612,1628
103-36-6,Ethyl cinnamate,0.99,1.049,100,DCM,300,15/1,10,2024-05-07_10-43-26.xlsx,Silica-CS 4g,593,1655,CCOC(=O)/C=C/C1=CC=CC=C1,593,1655
122-00-9,4'-Methylacetophenone,0.98,1.004,100,DCM,300,1/0,10,2024-05-07_10-49-57.xlsx,Silica-CS 4g,423,1645,CC1=CC=C(C=C1)C(=O)C,423,1645
122-00-9,4'-Methylacetophenone,0.98,1.004,100,DCM,300,100/1,10,2024-05-07_10-56-40.xlsx,Silica-CS 4g,974,2976,CC1=CC=C(C=C1)C(=O)C,974,2976
122-00-9,4'-Methylacetophenone,0.98,1.004,100,DCM,300,50/1,10,2024-05-07_11-01-47.xlsx,Silica-CS 4g,665,2007,CC1=CC=C(C=C1)C(=O)C,665,2007
122-00-9,4'-Methylacetophenone,0.98,1.004,100,DCM,300,30/1,10,2024-05-07_11-06-55.xlsx,Silica-CS 4g,622,1824,CC1=CC=C(C=C1)C(=O)C,622,1824
122-00-9,4'-Methylacetophenone,0.98,1.004,100,DCM,300,15/1,10,2024-05-07_11-11-22.xlsx,Silica-CS 4g,637,1661,CC1=CC=C(C=C1)C(=O)C,637,1661
1745-81-9,2-Allylphenol,0.98,1.028,100,DCM,300,1/0,10,2024-05-07_11-16-57.xlsx,Silica-CS 4g,305,1061,C=CCC1=CC=CC=C1O,305,1061
1745-81-9,2-Allylphenol,0.98,1.028,100,DCM,300,100/1,10,2024-05-07_11-54-28.xlsx,Silica-CS 4g,568,1231,C=CCC1=CC=CC=C1O,568,1231
1745-81-9,2-Allylphenol,0.98,1.028,100,DCM,300,50/1,10,2024-05-07_11-58-25.xlsx,Silica-CS 4g,730,1375,C=CCC1=CC=CC=C1O,730,1375
1745-81-9,2-Allylphenol,0.98,1.028,100,DCM,300,30/1,10,2024-05-07_12-02-16.xlsx,Silica-CS 4g,704,1344,C=CCC1=CC=CC=C1O,704,1344
123-11-5,Anisic aldehyde,0.98,1.121,100,DCM,300,1/0,10,2024-05-07_12-28-35.xlsx,Silica-CS 4g,458,1346,COC1=CC=C(C=C1)C=O,458,1346
123-11-5,Anisic aldehyde,0.98,1.121,100,DCM,300,100/1,10,2024-05-07_12-34-37.xlsx,Silica-CS 4g,1026,2574,COC1=CC=C(C=C1)C=O,1026,2574
123-11-5,Anisic aldehyde,0.98,1.121,100,DCM,300,50/1,10,2024-05-07_12-39-44.xlsx,Silica-CS 4g,665,2088,COC1=CC=C(C=C1)C=O,665,2088
123-11-5,Anisic aldehyde,0.98,1.121,100,DCM,300,30/1,10,2024-05-07_12-44-11.xlsx,Silica-CS 4g,631,1680,COC1=CC=C(C=C1)C=O,631,1680
123-11-5,Anisic aldehyde,0.98,1.121,100,DCM,300,15/1,10,2024-05-07_12-53-29.xlsx,Silica-CS 4g,590,4430,COC1=CC=C(C=C1)C=O,590,4430
